학년군,교과,영역,"핵심
아이디어",내용요소 (지식/이해만),성취기준 코드,성취기준,성취수준(A),성취수준(B),성취수준(C),해설
3~4,도덕,자신과의 관계,,,[4도01-04],다른 사람의 관점을 수용할 수 있는지를 도덕적으로 검토하고 도덕규범을 내면화하여 도덕적으로 행동할 수 있는 자세를 기른다.,다른 사람의 관점을 수용할 수 있는지를 도덕적으로 검토하며 생활 전반에서 도덕규범을 내면화하여 도덕적으로 행동할 수 있는 자세를 가진다.,다른 사람의 관점을 수용할 수 있는지를 도덕적으로 검토하며 도덕규범을 내면화하여 도덕적으로 행동할 수 있는 자세를 가진다.,다른 사람의 관점을 수용할 수 있는지를 검토하려고 노력하며 도덕규범에 관심을 가지고 도덕적으로 행동하려고 노력한다.,
3~4,도덕,타인과의 관계,"⋅배려는 타인에 대한 관심과 공감을 기반으로 타인의 삶을 개선한다.
⋅차이의 존중은 갈등을 평화적으로 해결하고 타인과 더불어 사는 삶으로 이끈다.",,[4도02-01],"효, 우애의 의미와 필요성을 명료하게 이해하고 가족의 행복을 위해 할 수 있는 일을 탐색하여 실천 계획을 세운다.","효, 우애의 의미와 필요성에 대해 명료하게 이해하고 가족의 행복을 위해 자신이 할 수 있는 다양한 일을 탐색하여 실천 계획을 세운다.","효, 우애의 의미와 필요성에 대해 이해하고 가족의 행복을 위해 자신이 할 수 있는 일을 탐색하여 실천 계획을 세운다.","효, 우애의 의미와 필요성에 대해 대략적으로 이해하고 가족의 행복을 위해 자신이 할 수 있는 일을 탐색하여 실천 계획을 세우는 것에 관심을 가진다.",
3~4,도덕,타인과의 관계,,,[4도02-02],친구 사이의 배려에 대한 올바른 이해를 바탕으로 일상생활에서 배려에 기반한 도덕적 관계를 맺을 수 있는 방안을 탐색한다.,친구 사이의 배려에 대한 올바른 이해를 바탕으로 일상생활에서 배려에 기반한 도덕적 관계를 맺을 수 있는 방안을 다각도로 탐색한다.,친구 사이의 배려에 대한 올바른 이해를 바탕으로 일상생활에서 배려에 기반한 도덕적 관계를 맺을 수 있는 방안을 탐색한다.,친구 사이의 배려에 대한 이해를 바탕으로 배려에 기반한 도덕적 관계를 맺을 수 있는 방안에 관심을 가진다.,
3~4,도덕,타인과의 관계,,,[4도02-03],공감의 태도가 필요한 이유를 이해하고 도덕적 상상력을 바탕으로 대상과 상황에 따라 감정을 나누는 방법을 탐구하여 실천한다.,타인 공감의 태도가 필요한 이유를 포괄적으로 이해하고 도덕적 상상력을 바탕으로 대상과 상황에 따라 감정 나누는 방법을 다각도로 탐구하여 생활 전반에서 실천한다.,타인 공감의 태도가 필요한 이유를 이해하고 도덕적 상상력을 바탕으로 대상과 상황에 따라 감정 나누는 방법을 탐구하여 실천한다.,타인 공감의 태도가 필요한 이유를 단편적으로 이해하고 도덕적 상상력을 바탕으로 대상과 상황에 따라 감정 나누는 방법에 관심을 가지고 실천하려고 노력한다.,
3~4,도덕,사회⋅공동체와의 관계,"⋅사회 정의는 시민의 인간다운 삶을 보장하는 도덕공동체의 토대가 된다.
⋅세계시민은 인류의 문제를 이해하고 공감하여 인류 번영과 세계 평화에 기여한다.",,[4도03-01],"불공정의 사례를 탐구하고, 일상생활에서 공정의 가치를 추구하는 활동을 통해 실천 의지를 함양한다.",불공정의 사례를 다각도로 탐구하고 일상생활에서 공정의 가치를 추구하는 활동을 통해 적극적인 실천 의지를 가진다.,불공정의 사례를 탐구하고 일상생활에서 공정의 가치를 추구하는 활동을 통해 실천 의지를 가진다.,불공정의 사례를 인식하고 일상생활에서 공정의 가치를 추구하는 활동에 관심을 가진다.,이 성취기준의 취지는 학생이 자신의 삶에서 공정이라는 가치에 관해 성찰하는 기회를 갖도록 하여 공정한 사회로 발전해가는 토대를 마련하려는 것이다. 학생이 공정과 불공정의 사례를 스스로 탐구하고 일상에서 공정을 실제로 추구하는 활동을 실천함으로써 공정의 가치를 생활화할 수 있도록 한다.
3~4,도덕,사회⋅공동체와의 관계,,,[4도03-02],"디지털 사회에서 발생하는 다양한 문제를 살펴보고, 해결 방안을 탐구하여 정보통신 윤리에 대한 민감성을 기른다.",디지털 사회에서 발생하는 다양한 문제를 살펴보고 해결 방안을 다각도로 탐구하여 정보통신 윤리에 대한 민감성을 가진다.,디지털 사회에서 발생하는 문제를 살펴보고 해결 방안을 탐구하여 정보통신 윤리에 대한 민감성을 가진다.,디지털 사회에서 발생하는 문제를 살펴보고 해결 방안에 관심을 가지며 정보통신 윤리에 대한 민감성을 기르고자 노력한다.,
3~4,도덕,사회⋅공동체와의 관계,,,[4도03-03],"통일의 필요성을 이해하고, 통일 감수성을 길러 바람직한 통일의 방향을 모색한다.",통일의 필요성에 대해 전반적으로 이해하고 통일 감수성을 길러 바람직한 통일의 방향을 다각도로 모색한다.,통일의 필요성에 대해 이해하고 통일 감수성을 길러 바람직한 통일의 방향을 모색한다.,통일의 필요성에 대해 부분적으로 이해하고 통일 감수성을 기르고자 노력하여 바람직한 통일의 방향에 관심을 가진다.,
3~4,도덕,자연과의 관계,"⋅자연에 대한 윤리적 책임은 자연의 본래 가치에 관한 이해를 높여 생태전환을 이끈다.
⋅자연을 아끼고 생명을 소중히 여기는 마음은 환경 위기의 극복을 돕는다.",,[4도04-01],생명 경시 사례를 조사하고 문제 해결 방법을 탐구함으로써 생명의 소중함을 이해한다.,다양한 생명 경시 사례를 조사하고 문제 해결 방법을 다각도로 탐구함으로써 생명의 소중함을 포괄적으로 이해한다.,생명 경시 사례를 조사하고 문제 해결 방법을 탐구함으로써 생명의 소중함을 이해한다.,생명 경시 사례에 관심을 가짐으로써 생명의 소중함을 단편적으로 이해한다.,
3~4,도덕,자연과의 관계,,,[4도04-02],인간과 자연이 함께 살아야 하는 이유를 이해하고 공생을 위한 구체적인 실천 계획을 세우며 생태 감수성을 기른다.,인간과 자연이 함께 살아야 하는 이유를 포괄적으로 이해하고 자연과의 공생을 위한 구체적인 실천 계획을 다양하게 수립하며 생태 감수성을 기른다.,인간과 자연이 함께 살아야 하는 이유를 이해하고 자연과의 공생을 위한 구체적인 실천 계획을 세우며 생태 감수성을 기른다.,인간과 자연이 함께 살아야 하는 이유를 단편적으로 이해하고 자연과의 공생을 위한 실천 계획을 세우는 것에 관심을 가지며 생태 감수성을 기르고자 노력한다.,"이 성취기준의 취지는 학생이 일상에서 자연스럽게 생태 감수성과 생태전환적 사고에 따라 실천하도록 하기 위한 것이다. 생태전환과 관련된 도덕적 쟁점을 마주할 때 단순히 생태 체험에만 그치지 않고, 인간중심 사고에서 벗어나 자연과의 공존을 위한 생각과 행동의 변화까지 모색한다."
3~4,사회,지리 인식,"⋅지표상에 분포하는 모든 사건과 현상은 절대적, 상대적 위치와 다양한 규모의 영역을 차지한다.
⋅장소는 다른 장소와 차별되는 자연적⋅인문적 성격을 지니며, 특정 장소에 따른 장소감은 개인이나 집단에 따라 다양하다.
⋅지표 세계는 장소적 성격의 동질성, 기능적 상호 관련성, 지역민의 인지 등의 측면에서 다양하게 구분되며, 이렇게 구분된 지역은 고유한 지역성이 나타난다. 
⋅지도를 비롯한 다양한 공간자료와 도구를 통한 지리 정보 수집은 장소와 지역의 여러 현상과 사건을 분석하고 해석하며 추론하는 데 필수적이다.","⋅장소 경험과 장소감
⋅생활 주변의 주요 장소
⋅우리 지역의 지리 정보",[4사01-01],"주변 여러 장소에서의 경험과 느낌을 다양한 방식으로 표현하고, 장소감을 나누며 서로 존중하는 태도를 지닌다.","주변 여러 장소에서의 경험과 느낌을 다양한 방식으로 표현하며 주변 장소에 관심을 가지고, 다른 사람과 장소감을 비교하며 서로 다른 장소감을 존중하는 태도를 가진다.","주변 여러 장소에서의 경험과 느낌을 다양한 방식으로 표현하고, 다른 사람의 장소감을 관찰하며 서로 다른 장소감을 존중하는 태도를 가진다.","주변 여러 장소에서의 경험과 느낌을 표현하고, 다른 사람의 장소감을 관찰하며 서로 다른 장소감의 차이를 발견할 수 있다.","[4사01-01]은 학생들의 생활이 이루어지는 주변 여러 장소에서의 경험과 느낌을 글, 그림, 심상지도 등의 다양한 방식으로 표현하고, 이를 통해 사람마다 장소감의 차이가 나타날 수 있음을 이해하도록 설정한 것이다. 장소감이란 장소에 대한 인지, 감정, 태도, 행동을 포괄하는 것으로 개인이나 집단이 장소에 부여하는 의미나 관심을 뜻한다. 장소 경험을 공유하는 과정에서 장소감의 차이를 이해하고 서로 존중하며, 주변의 장소를 알아가면서 이에 대한 관심을 심화시키는 데 초점을 맞춘다."
3~4,사회,지리 인식,,,[4사01-02],"주변의 여러 장소를 살펴보고, 우리가 사는 곳을 더 살기 좋은 곳으로 만드는 방안을 탐색한다.","주변 여러 장소를 조사하여 좋은 점과 불편한 점을 구분하고, 살기 좋은 곳의 조건을 분석하여 우리가 사는 곳을 더 살기 좋은 곳으로 만드는 방법을 제안할 수 있다.","주변의 여러 장소를 조사하여 좋은 점과 불편한 점을 구분하고, 우리가 사는 곳을 더 살기 좋은 곳으로 만드는 방법을 제시할 수 있다.","주변의 여러 장소를 조사하여, 좋은 점과 불편한 점을 나열할 수 있다.","[4사01-02]는 학생들이 생활하는 데 편익을 제공하는 주요 장소 및 시설이나 기관을 살펴보고, 우리가 사는 곳을 더 살기 좋은 곳으로 만드는 방안을 찾아보도록 설정한 것이다. 특히, 우리가 사는 곳의 놀이⋅여가, 안전, 교육⋅문화, 건강⋅의료 등과 관련 있는 장소를 조사하여 좋은 점, 불편한 점 등을 확인하고, 학생들의 관점에서 살기 좋은 곳의 조건을 생각하면서 우리가 사는 곳에 관심을 가지도록 하는 데 중점을 둔다."
3~4,사회,역사 일반,"⋅시대에 따라 지역, 교통⋅통신, 풍습 등 생활 모습이 달라진다.
⋅과거의 모습을 보여주는 자료는 역사의 증거로 활용된다. 
⋅일상생활 속 과거에 관심을 가짐으로써 자신을 역사적 존재로 인식한다. ","⋅역사의 시간 개념
⋅역사 증거
⋅변화와 지속(지역, 교통⋅ 통신, 풍습)",[4사02-01],"일상 속에서 시간의 흐름을 경험할 수 있는 사례를 살펴보고, 이를 바탕으로 역사의 시간 개념을 이해한다.",일상 속에서 시간의 흐름을 경험할 수 있는 사례를 분석하여 역사의 시간 개념을 탐구하고 시간의 흐름 속에서 자신의 위치를 확인할 수 있다.,일상 속에서 시간의 흐름을 경험할 수 있는 사례를 찾아보고 이를 바탕으로 역사의 시간 개념을 설명할 수 있다.,일상 속에서 시간의 흐름을 경험할 수 있는 사례를 찾을 수 있다.,"[4사02-01]은 가정, 학교 등 학생 주변의 사례를 활용하여 역사의 시간 개념을 이해하도록 설정한 것이다. 역사에서 자주 사용하는 시간 표현 용어, 시간의 흐름 속에서 어떤 사건의 시간상 위치를 파악하는 등 역사의 시간 개념을 이해한다."
3~4,사회,역사 일반,,,[4사02-02],"오래된 물건이나 자료들을 주변에서 찾아보고, 이를 통해 과거의 모습을 살펴볼 수 있음을 이해한다.","주변에서 오래된 물건이나 자료들을 찾아보며 과거의 모습을 탐색하고, 역사가 증거를 바탕으로 구성된다는 것을 추정할 수 있다.","주변에서 오래된 물건이나 자료들을 찾아보고, 이들이 과거의 모습을 알려주는 증거임을 짐작하여 설명할 수 있다.",주변에서 과거의 모습을 살펴볼 수 있는 오래된 물건이나 자료들을 찾을 수 있다.,"[4사02-02]는 주변의 오래된 물건이나 자료 등이 과거 모습을 알려주는 증거 역할을 한다는 것을 이해하도록 설정한 것이다. 학생의 애장품을 비롯해 생활 주변에서 볼 수 있는 오래된 물건이나 자료(신문 기사, 편지, 일기, 노래 가사, 사진 등), 주변 사람들의 증언 등을 활용한다."
